displayName,User Name,Full Name,mailNickname,userPrincipalName,Role,Short Role Description,mail,jobTitle,department,companyName,officeLocation,accountEnabled,userType,employeeId,employeeType,id,givenName,surname,otherMails,employeeHireDate,businessPhones,mobilePhone,faxNumber,streetAddress,city,state,postalCode,country,usageLocation,preferredLanguage,createdDateTime,lastPasswordChangeDateTime,onPremisesSamAccountName,onPremisesUserPrincipalName,onPremisesSyncEnabled,onPremisesLastSyncDateTime,licenseCount,planCount,S.no
Alexis Moore,AMOORE,Alexis Moore,amoore,amoore@infopaxidentity.onmicrosoft.com,ZC:S&D:SALES_ANALYST_____:1000,S&D - Sales Analyst - 1000 UK,,Sales & Marketing Analyst,Sales & Marketing,,,True,Member,,,0504bd35-574d-4a4e-b91d-20877488a014,Alexis,Moore,,,,,,,,Manchester,,Sales & Regional,GB,,2026-02-05T16:08:24Z,2026-02-05T16:08:24Z,,,,,0,0,1
Brogan Sadler,BSADLER,Brogan Sadler,bsadler,bsadler@infopaxidentity.onmicrosoft.com,ZC:DFE:WAREHOUSE_MANAGER_:2000,DFE - Warehouse Manager - 2000 US,,Manufacturing Territory Manager 1,Manufacturing,,,True,Member,,,098c6094-e4db-47dc-adfd-b7455a3e3dc3,Brogan,Sadler,,,,,,,,Nashville,,Manufacturing,US,,2026-02-05T16:08:25Z,2026-02-05T16:08:24Z,,,,,0,0,2
Carolyn Niles,CNILES,Carolyn Niles,cniles,cniles@infopaxidentity.onmicrosoft.com,ZC:DFE:WAREHOUSE_MANAGER_:2000,DFE - Warehouse Manager - 2000 US,,Manufacturing Territory Manager 2,Manufacturing,,,True,Member,,,dbea1b0f-8539-45e1-ac26-06a8a10c7aa4,Carolyn,Niles,,,,,,,,Boulder,,Manufacturing,US,,2026-02-05T16:08:24Z,2026-02-05T16:08:24Z,,,,,0,0,3
Deacon Bunker,DBUNKER,Deacon Bunker,dbunker,dbunker@infopaxidentity.onmicrosoft.com,ZC:DFE:WAREHOUSE_MANAGER_:2000,DFE - Warehouse Manager - 2000 US,,Manufacturing Territory Manager 1,Manufacturing,,,True,Member,,,c50ae991-d954-4573-be6a-e8a0ac9c3349,Deacon,Bunker,,,,,,,,Boulder,,Manufacturing,US,,2026-02-05T16:08:24Z,2026-02-05T16:08:24Z,,,,,0,0,4
Gary McDermott,GMCDERMOTT,Gary McDermott,gmcdermott,gmcdermott@infopaxidentity.onmicrosoft.com,ZC:DFE:WAREHOUSE_MANAGER_:2000,DFE - Warehouse Manager - 2000 US,,Manufacturing Territory Manager 2,Manufacturing,,,True,Member,,,6f7230cd-1e0f-47ee-a630-fddd2c7a76f5,Gary,McDermott,,,,,,,,Nashville,,Manufacturing,US,,2026-02-05T16:08:25Z,2026-02-05T16:08:25Z,,,,,0,0,5
Henry Ritchie,HRITCHIE,Henry Ritchie,hritchie,hritchie@infopaxidentity.onmicrosoft.com,ZC:DFE:WAREHOUSE_MANAGER_:2000,DFE - Warehouse Manager - 2000 US,,Manufacturing Territory Manager 4,Manufacturing,,,True,Member,,,8fcb596c-f16f-4a99-a766-522ad3c9a757,Henry,Ritchie,,,,,,,,Nashville,,Manufacturing,US,,2026-02-05T16:08:25Z,2026-02-05T16:08:25Z,,,,,0,0,6
Jillian Devlin,JDEVLIN,Jillian Devlin,jdevlin,jdevlin@infopaxidentity.onmicrosoft.com,ZC:S&D:SALES_ANALYST_____:2000,S&D - Sales Analyst - 2000 US,,Sales & Marketing Analyst,Sales & Marketing,,,True,Member,,,36058376-ce62-40da-8519-9d530f31c4f2,Jillian,Devlin,,,,,,,,New York,,Sales & Regional,US,,2026-02-05T16:08:23Z,2026-02-05T16:08:23Z,,,,,0,0,7
Jimi MacCalin,JMACCALIN,Jimi MacCalin,jmaccalin,jmaccalin@infopaxidentity.onmicrosoft.com,ZC:DFE:WAREHOUSE_MANAGER_:2000,DFE - Warehouse Manager - 2000 US,,Manufacturing Territory Manager 2,Manufacturing,,,True,Member,,,33cf67a8-ef3b-440d-8670-d146342f1926,Jimi,MacCalin,,,,,,,,Providence,,Manufacturing,US,,2026-02-05T16:08:24Z,2026-02-05T16:08:24Z,,,,,0,0,8
Jules Spencer,JSPENCER,Jules Spencer,jspencer,jspencer@infopaxidentity.onmicrosoft.com,ZC:DFE:WAREHOUSE_MANAGER_:2000,DFE - Warehouse Manager - 2000 US,,Manufacturing Territory Manager 1,Manufacturing,,,True,Member,,,0f8c9183-afaa-433c-9bf0-4b4ff19a59ef,Jules,Spencer,,,,,,,,Eugene,,Manufacturing,US,,2026-02-05T16:08:24Z,2026-02-05T16:08:24Z,,,,,0,0,9
Justin Martin,JUSTINMARTIN,Justin Martin,justinmartin,justinmartin@infopaxidentity.onmicrosoft.com,ZC:DFE:WAREHOUSE_MANAGER_:1000,DFE - Warehouse Manager - 1000 UK,,Manufacturing Territory Manager 1,Manufacturing,,,True,Member,,,1af98175-543e-48a3-a019-6bbd99b0e1cf,Justin,Martin,,,,,,,,Port Sunlight,,Manufacturing,GB,,2026-02-05T16:08:25Z,2026-02-05T16:08:25Z,,,,,0,0,10
